Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
BMAS,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Kasikorn Indonesia Tbk,IDX Live
BMBL,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pendidikan & Jasa Penunjang,Jasa Pendidikan,PT Lavender Bina Cendikia Tbk,IDX Live
BMHS,F,Healthcare,Kesehatan,IDXHEALTH,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,PT Bundamedik Tbk,IDX Live
BMRI,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Mandiri (Persero) Tbk,IDX Live
BMSR,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Dasar,Bintang Mitra Semestaraya Tbk,IDX Live
BMTR,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Media & Hiburan,Media,Periklanan,PT Global Mediacom Tbk,IDX Live
BNBA,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Bumi Arta Tbk,IDX Live
BNBR,C,Industrials,Perindustrian,IDXINDUST,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Bakrie & Brothers Tbk,IDX Live
BNGA,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank CIMB Niaga Tbk,IDX Live
BNII,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Maybank Indonesia Tbk,IDX Live
BNLI,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Permata Tbk,IDX Live
BOAT,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",PT Newport Marine Services Tbk,IDX Live
BOBA,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Makanan Olahan,PT Formosa Ingredient Factory Tbk,IDX Live
BOGA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,PT Apollo Global Interactive Tbk,IDX Live
BOLA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,PT Bali Bintang Sejahtera Tbk.,IDX Live
BOLT,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,PT Garuda Metalindo Tbk.,IDX Live
BOSS,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,PT Borneo Olah Sarana Sukses Tbk.,IDX Live
BPFI,G,Financials,Keuangan,IDXFINANCE,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,PT Woori Finance Indonesia Tbk,IDX Live
